stage,epoch,train_loss,val_loss,val_dice,val_centroid_dist
supervised,1,1.7113340357516675,1.5876991252104442,0.0022952757814588645,62.65544567947035
supervised,2,1.4532875025526006,1.3132502635320027,0.006461237266194075,66.87259646698281
supervised,3,1.251157889974878,1.191767414410909,0.01665549005459373,70.38875454001958
supervised,4,1.1713683021829484,1.141799509525299,0.03106378057661156,76.27906565312988
supervised,5,1.1327147331643612,1.111661156018575,0.04375222201148669,72.31714342258594
supervised,6,1.1063178397239524,1.0944784780343373,0.049562576382110514,62.399300972620644
supervised,7,1.0876189952201032,1.080123285452525,0.06422122614458203,62.006631730883214
supervised,8,1.0740574496857664,1.0679584741592407,0.048470474469165005,55.233786821365356
supervised,9,1.058093918130753,1.0528903007507324,0.06800448801368475,52.502033580232556
supervised,10,1.0487834899983508,1.0439799129962921,0.10453381823996703,47.19244815464373
supervised,11,1.039018118635137,1.0322537620862324,0.11051317925254504,47.05263245878397
supervised,12,1.02766249027658,1.0162390768527985,0.10057644297679265,47.039324846532615
supervised,13,1.019330988539026,1.007641687989235,0.10266170961161454,45.389231460237944
supervised,14,1.003908319676176,0.997098351518313,0.11678980042537053,45.07665139271154
supervised,15,0.988551749828014,0.9915473014116287,0.10148134206732114,48.0676064601651
supervised,16,0.9836555047238127,0.9737494637568792,0.1469908927877744,42.913370755811535
supervised,17,0.9654212898396431,0.9756482243537903,0.14264105757077536,44.491552801043895
supervised,18,0.9507329375185865,0.946663056810697,0.14111949441333613,42.53009104949456
supervised,19,0.9328862136982857,0.9226717799901962,0.17224724466602007,37.23494185838434
supervised,20,0.9161411929637828,0.911522626876831,0.17361187438170114,37.13838459385766
supervised,21,0.9019111889473935,0.8974137455224991,0.17934337630867958,34.90719738768207
supervised,22,0.8881961094572189,0.892589807510376,0.18144714459776878,35.19490337923722
supervised,23,0.8836551283268218,0.8939804236094157,0.1766894074777762,36.19757515633548
supervised,24,0.8792547900626,0.8639398564894994,0.20913722490270933,32.038677239859545
supervised,25,0.8722262712235146,0.8690034945805868,0.20341763521234194,31.196524807700403
supervised,26,0.8641133257683288,0.8601077049970627,0.21471279114484787,26.687892669328935
supervised,27,0.8425076946299127,0.8401761949062347,0.23583105827371278,23.17099045217037
supervised,28,0.8315408711737775,0.8266041080156962,0.26741736258069676,18.898187906653792
supervised,29,0.8286973593082834,0.8591058701276779,0.21957516794403395,24.971582999659912
supervised,30,0.8086853382435251,0.8139462818702062,0.26771364485224086,21.181379973336504
supervised,31,0.8075327264501694,0.8199540625015894,0.26613060260812443,22.694884971887973
supervised,32,0.7997379708797374,0.8634901444117228,0.23018984869122505,29.468531481645723
supervised,33,0.7901682587380104,0.829383393128713,0.25019926701982814,28.946606304358554
supervised,34,0.7869988147248613,0.7754243910312653,0.3078627685705821,19.071579383203275
supervised,35,0.7767621316808335,0.7692530006170273,0.3053150127331416,19.929499858507402
supervised,36,0.7618979240985627,0.7598278671503067,0.31159254411856335,18.16630219226634
supervised,37,0.7604188906385544,0.7562505851189295,0.3108156894644101,18.504182471997208
supervised,38,0.748541088814431,0.743678535024325,0.3235535994172096,18.18244856706372
supervised,39,0.7476559420849415,0.7491016338268915,0.3175273711482684,20.605814952541277
supervised,40,0.740275262518132,0.7535006403923035,0.3042761559287707,21.071838821112006
supervised,41,0.7300783598676641,0.751775657137235,0.30557935560743016,21.649454285701115
supervised,42,0.7224569130451122,0.7081462244192759,0.34718041121959686,16.560442095001537
supervised,43,0.7194331947793352,0.7349977940320969,0.3270077134172122,18.36321334292491
supervised,44,0.7155930158939767,0.716055209438006,0.3394646073381106,17.94207502570417
supervised,45,0.7117192732526901,0.7222660928964615,0.3386302813887596,20.15492061470394
supervised,46,0.7158006607217992,0.7112521231174469,0.3443247452378273,14.92073462875905
supervised,47,0.7113859805654972,0.7038134088118871,0.348661149541537,15.789361725802772
supervised,48,0.6956867322008661,0.6805029114087423,0.3759703263640404,14.874742291039889
supervised,49,0.6885715507446452,0.6853687266508738,0.3621767610311508,12.606080586159672
supervised,50,0.6827419019759969,0.6914858569701513,0.36043089752395946,16.014123491115043
